date_debut;date_fin;segment_client;conso_a_tr;conso_a_tn;temp_moy_a_tr;temp_moy_a_tn;cons_hist_moy_a_tn;cons_hist_min_a_tn;cons_hist_max_a_tn;cons_hist_moy_a_tr;cons_hist_min_a_tr;cons_hist_max_a_tr;temp_hist_moy_a_tr;temp_hist_min_a_tr;temp_hist_max_a_tr
2023-01-02;2023-01-08;Entreprises;2755082;3041168;10.4;4.8;3147364;2971639;3352319;3102058;2900800;3329292;5.9;1.8;9.3
2023-01-30;2023-02-05;Entreprises;3093310;3102605;5.9;5.8;3336652;3178692;3419362;3297534;3019513;3490721;6.8;4.2;9.4
2023-01-30;2023-02-05;Professionnels;930512;930584;5.9;5.8;1023013;982972;1043565;999886;888876;1096860;6.8;4.2;9.4
2023-02-06;2023-02-12;Residentiels;4224888;3926203;4.7;6.2;4204738;4047290;4300030;4807843;4290115;5226147;3.8;2.6;6.1
2023-02-20;2023-02-26;Entreprises;2910927;2971006;8.3;7.0;3200733;3035307;3274873;3151483;2851085;3441170;8.1;4.0;11.0
2022-08-29;2022-09-04;Entreprises;2889382;2744586;22.3;19.4;2803904;2721663;2852878;2865863;2846306;2881313;20.6;19.4;23.0
2022-09-05;2022-09-11;Entreprises;2810338;2714793;20.6;18.5;2842443;2824853;2865446;2891106;2832124;2958480;19.7;18.4;21.5
2022-09-12;2022-09-18;Entreprises;2790498;2704820;19.6;17.6;2843392;2830169;2869821;2892724;2863173;2922794;19.1;18.0;19.8
2022-10-03;2022-10-09;Residentiels;1993523;2052138;15.3;14.9;2103452;2040839;2180666;2111053;2024643;2266349;15.0;14.0;15.8
2022-10-24;2022-10-30;Professionnels;620982;695892;17.7;11.9;761895;744358;783683;745393;725746;760568;12.8;12.2;13.8
2022-11-28;2022-12-04;Professionnels;899606;895389;6.6;6.9;986329;964541;1013580;970158;911216;1054984;7.7;5.4;9.5
2022-12-26;2023-01-01;Entreprises;2325814;2604074;10.4;4.8;2792733;2785170;2799155;2615719;2511198;2736786;8.4;5.9;10.5
2023-01-09;2023-01-15;Professionnels;859853;985511;9.0;4.9;1061058;1031307;1084242;1055523;989925;1100099;4.9;3.8;6.9
2023-01-23;2023-01-29;Residentiels;4809504;4101530;2.4;5.4;4414175;4323094;4520106;4378702;3664405;4804825;5.6;3.3;8.8
2023-02-27;2023-03-05;Entreprises;3121018;2966214;4.6;7.5;3160401;3000614;3239702;3182248;2931705;3550726;7.2;1.5;10.6
2023-02-27;2023-03-05;Professionnels;935583;845588;4.6;7.5;930727;861588;1001017;935229;817209;1191363;7.2;1.5;10.6
